Entry Date,Exit Date,Direction,Entry Price,Exit Price,Return,Duration,window,num_std,Sharpe,Max Drawdown,Final Return,Win Rate
2015-02-05,2015-02-06,Short,1.1476,1.13095,0.014508539560822634,1,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2015-02-26,2015-03-18,Long,1.11942,1.08223,-0.03322256168372912,20,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2015-03-23,2015-03-30,Short,1.09584,1.08289,0.011817418601255673,7,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2015-04-09,2015-04-16,Long,1.06633,1.076,0.009068487241285594,7,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2015-04-24,2015-05-11,Short,1.08695,1.11484,-0.025658953953723692,17,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2015-05-13,2015-05-19,Short,1.13527,1.11461,0.018198314057448803,6,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2015-05-22,2015-06-02,Long,1.1002,1.11511,0.01355208143973821,11,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2015-06-03,2015-06-16,Short,1.12654,1.12466,0.0016688266728212967,13,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2015-06-23,2015-07-10,Long,1.11712,1.11516,-0.0017545116012603497,17,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2015-07-15,2015-07-23,Long,1.09586,1.0984,0.00231781431934735,8,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2015-07-27,2015-07-30,Short,1.10858,1.09309,0.013972830106983714,3,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2015-08-04,2015-08-10,Long,1.08893,1.10175,0.011773024895998874,6,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2015-08-11,2015-08-18,Short,1.10438,1.10254,0.0016660931925603886,7,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2015-08-20,2015-08-27,Short,1.12328,1.12415,-0.0007745174845095848,7,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2015-09-10,2015-09-21,Short,1.12875,1.11864,0.008956810631229096,11,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2015-09-22,2015-09-29,Long,1.11307,1.12545,0.01112239122427166,7,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2015-10-06,2015-10-19,Short,1.12646,1.13269,-0.0055306002876266865,13,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2015-10-22,2015-11-19,Long,1.1106,1.0729,-0.03394561498289219,28,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2015-11-27,2015-12-03,Long,1.05874,1.09268,0.03205697338345588,6,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2015-12-04,2015-12-16,Short,1.08818,1.08909,-0.0008362587071991458,12,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2015-12-31,2016-01-07,Long,1.08584,1.0921,0.005765121933249977,7,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-01-22,2016-01-27,Long,1.07934,1.09023,0.010089499138362394,5,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-02-03,2016-02-15,Short,1.10811,1.11631,-0.007399987365875216,12,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-02-22,2016-03-04,Long,1.10271,1.1004,-0.0020948390782708367,11,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-03-10,2016-03-23,Short,1.11791,1.1182,-0.0002594126539704659,13,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-03-30,2016-04-13,Short,1.13322,1.1279,0.004694587105769393,14,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-04-14,2016-04-19,Long,1.12625,1.13566,0.008355160932297375,5,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-04-22,2016-04-26,Long,1.12153,1.1299,0.007463019268320945,4,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-04-29,2016-05-06,Short,1.14485,1.13991,0.004314975761016679,7,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-05-13,2016-06-01,Long,1.1305,1.1184,-0.010703228659885006,19,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-06-03,2016-06-10,Short,1.13627,1.12484,0.010059228880459601,7,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-06-22,2016-06-24,Short,1.13308,1.11148,0.019063084689518887,2,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-06-27,2016-07-13,Long,1.10103,1.10982,0.007983433693904867,16,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-07-15,2016-07-18,Long,1.10261,1.10744,0.0043805153227341395,3,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-07-19,2016-07-27,Long,1.10179,1.10576,0.0036032274752902356,8,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-07-28,2016-08-05,Short,1.10775,1.1081,-0.0003159557661927984,8,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-08-16,2016-08-26,Short,1.1277,1.1195,0.007271437439035191,10,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-08-29,2016-09-06,Long,1.11867,1.12443,0.005148971546568681,8,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-09-08,2016-09-16,Short,1.12645,1.11566,0.009578765147143554,8,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-09-19,2016-09-22,Long,1.11781,1.12101,0.0028627405373006965,3,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-10-06,2016-10-28,Long,1.11456,1.0981,-0.014768159632500645,22,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-11-01,2016-11-08,Short,1.10559,1.1013,0.0038802811168698404,7,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-11-10,2016-11-29,Long,1.0885,1.06481,-0.02176389526871841,19,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-12-01,2016-12-08,Short,1.06589,1.06132,0.004287496833631953,7,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-12-09,2016-12-27,Long,1.05578,1.04588,-0.00937695353198585,18,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2016-12-29,2017-01-03,Short,1.04925,1.0409,0.007958065284727261,5,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-01-05,2017-01-26,Short,1.06021,1.06799,-0.0073381688533402795,21,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-01-31,2017-02-07,Short,1.07954,1.06805,0.01064342219834374,7,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
